Time (s),EMG_Relaxed (mV),EMG_Contracted (mV)
2.698017385,-0.017553302,-0.079514438
2.698505713,-0.031113102,-0.13002558
2.698994042,-0.054114578,-0.153958999
2.699482371,-0.070673391,-0.135949038
2.6999707,-0.075346865,-0.097413448
2.700459029,-0.077240081,-0.070566035
2.700947358,-0.079838307,-0.069749202
2.701435687,-0.08154805,-0.083144404
2.701924016,-0.080589046,-0.088136341
2.702412345,-0.074835851,-0.075063642
2.702900674,-0.059203345,-0.051987472
2.703389003,-0.035566266,-0.029879694
2.703877332,-0.018345795,-0.012769589
2.704365661,-0.010329629,-0.00248858
2.70485399,-0.002668683,0.002698147
2.705342319,0.005263464,0.007330045
2.705830648,0.016324942,0.012063323
2.706318976,0.032750894,0.023731232
2.706807305,0.046549799,0.046388524
2.707295634,0.055027293,0.066018422
2.707783963,0.059271199,0.073679317
2.708272292,0.062547001,0.080701152
2.708760621,0.069826869,0.097816957
2.70924895,0.073922048,0.110070783
2.709737279,0.071632046,0.093256048
2.710225608,0.071787665,0.058690684
2.710713937,0.074038548,0.037167211
2.711202266,0.071889583,0.031226076
2.711690595,0.062355102,0.030878275
2.712178924,0.046242731,0.033593514
2.712667253,0.030543781,0.030832541
2.713155582,0.019720729,0.017299709
2.713643911,0.010204139,0.001973731
2.714132239,-0.004806902,-0.00318587
2.714620568,-0.025912236,0.001172644
2.715108897,-0.04469017,-0.000412888
2.715597226,-0.059262935,-0.017586205
2.716085555,-0.071873858,-0.044249242
2.716573884,-0.07922996,-0.071506302
2.717062213,-0.082723201,-0.093833488
2.717550542,-0.084574354,-0.105637994
2.718038871,-0.082859476,-0.103432128
2.7185272,-0.077081554,-0.088140815
2.719015529,-0.070572935,-0.066376979
2.719503858,-0.068184107,-0.05432835
2.719992187,-0.06064806,-0.060137034
2.720480516,-0.039172805,-0.066213322
2.720968845,-0.017625479,-0.05009825
2.721457174,-0.006117402,-0.011681936
2.721945502,0.002198653,0.026286749
2.722433831,0.013169003,0.043542867
2.72292216,0.02504707,0.042965567
2.723410489,0.03658497,0.040378313
2.723898818,0.049829568,0.047686143
2.724387147,0.061664607,0.064700608
2.724875476,0.069497957,0.077446836
2.725363805,0.075691498,0.075289926
2.725852134,0.079511557,0.06681981
2.726340463,0.079179686,0.064778916
2.726828792,0.073763279,0.066356276
2.727317121,0.066198777,0.062941851
2.72780545,0.059396508,0.052345299
2.728293779,0.049777954,0.035865309
